date	concentracaoA	concentracaoB
2/18/2000	31.7	16.63
2/21/2000	27.41	0.91
2/24/2000	30.08	14.99
3/2/2000	33.34	13.91
4/17/2000	46.18	26.36
4/19/2000	21.02	21.52
4/25/2000	40.94	25.39
4/27/2000	46.45	32.29
5/1/2000	32.76	42.57
5/9/2000	35.06	39
5/11/2000	38.05	22.09
5/15/2000	56.85	49.85
5/18/2000	40.03	40.78
5/22/2000	46.16	33.59
5/25/2000	50.2	15.32
5/29/2000	39.28	27.1
6/5/2000	34.85	39.69
6/7/2000	39.87	50.81
6/12/2000	58.8	18.89
6/15/2000	48.58	36.59
6/21/2000	26.53	34.67
6/26/2000	53.15	49.36
6/29/2000	74	19.85
7/5/2000	43.32	82.8
7/7/2000	43.93	56.13
7/10/2000	66.62	12.99
7/17/2000	34.5	39.47
7/21/2000	46.31	45.15
7/24/2000	31.88	23.91
7/26/2000	46.65	17.56
7/31/2000	52.61	24.13
8/2/2000	40.8	36.63
8/8/2000	58.49	46.17
8/10/2000	35.95	24.69
8/14/2000	45.87	20.86
8/18/2000	22.77	33.02
8/22/2000	17.99	49.62
8/25/2000	70.92	85.05
8/29/2000	26.84	45.9
9/1/2000	37.7	23.5
9/4/2000	49.29	15.53
9/10/2000	30.93	33.83
9/12/2000	49.8	51.65
9/14/2000	30.98	48.45
9/19/2000	39.08	51.1
9/23/2000	51.91	27.78
9/25/2000	27.15	22.58
9/27/2000	30.3	9.33
10/2/2000	37.81	21.38
10/6/2000	30	30.67
10/9/2000	38.28	42.71
10/10/2000	50.25	49.44
10/17/2000	43.36	91.76
10/19/2000	45.71	46.77
10/24/2000	25.06	30.51
10/26/2000	37.31	14.09
10/30/2000	15.63	40.42
11/2/2000	43.17	16.59
11/6/2000	31.6	18.64
11/13/2000	18.25	21.92
11/15/2000	21.17	15.36
11/20/2000	21.79	41.21
11/22/2000	26.37	23.45
11/28/2000	16.52	21.09
12/4/2000	19.56	21.77
12/7/2000	32.01	11.36
12/15/2000	25.45	24.35
12/20/2000	25.68	10.45
12/27/2000	16.3	17.78
12/29/2000	21.26	9.59
1/29/2001	19.44	11.92
1/31/2001	16.4	14.4
2/6/2001	15.56	15.55
2/15/2001	31.72	10.19
2/23/2001	28.5	15.07
2/26/2001	22.86	11.76
3/1/2001	32.78	16.31
3/5/2001	19.4	18.92
3/7/2001	16.26	10.56
3/12/2001	17.49	14.12
3/15/2001	32.89	8.6
3/19/2001	27.84	15.47
3/23/2001	34.09	16.04
3/27/2001	25.23	12.63
3/29/2001	27	12.9
4/4/2001	29.25	11.71
4/7/2001	29.97	20.25
4/11/2001	30.68	19.18
4/14/2001	30.29	21.17
4/16/2001	35.31	18.23
4/19/2001	46.8	20.09
4/23/2001	34.79	26.23
4/27/2001	38.98	45.12
4/30/2001	33.5	81.08
