date	concentracaoA	concentracaoB
2/19/2003	13.94	18.55
2/25/2003	7.77	19.6
2/27/2003	35.08	27.52
3/3/2003	28.94	19.26
4/16/2003	34.38	18.27
4/20/2003	44.68	22.51
4/25/2003	17.82	25.39
4/28/2003	31.69	41.3
5/2/2003	38.58	50.93
5/7/2003	15.15	39.28
5/10/2003	27	26.81
5/13/2003	30.3	38.91
5/16/2003	22.5	58.86
5/22/2003	43.76	33.59
5/26/2003	60.72	17.27
6/2/2003	49.55	25.4
6/5/2003	42.44	39.69
6/11/2003	49.37	26.59
6/16/2003	52.12	34.49
6/25/2003	56.06	45.54
6/30/2003	70.14	22.69
7/4/2003	71.37	38.07
7/7/2003	30.9	56.13
7/17/2003	94.71	39.47
7/30/2003	23.52	23.4
8/4/2003	37.29	47.97
8/11/2003	35.26	37.53
8/12/2003	54.81	49.26
8/19/2003	15.06	37.1
9/3/2003	40.59	16.15
9/8/2003	53.58	32.76
9/11/2003	18.9	41.66
9/15/2003	10.33	49.49
9/17/2003	19.49	67.15
9/22/2003	55.14	22.62
9/29/2003	35.39	29.29
10/1/2003	48.29	18.16
10/6/2003	34.54	30.67
10/8/2003	10.34	41.15
10/16/2003	52.44	84.61
10/20/2003	58.21	25.72
10/22/2003	41.41	29.72
10/28/2003	7.77	31.9
11/3/2003	16.84	19.01
11/5/2003	13.46	15.93
11/14/2003	26.1	20.82
11/19/2003	16.87	31.13
11/24/2003	44.2	14.92
11/26/2003	4.54	12.65
12/4/2003	6.35	21.77
12/8/2003	10.37	33.69
1/28/2004	13.07	10.87
2/9/2004	27.82	8.31
2/11/2004	16.76	11.34
2/16/2004	10.22	11.39
3/2/2004	2.35	22.66
3/4/2004	25.39	16.61
3/8/2004	22.22	8.36
3/24/2004	40.3	4.9
3/29/2004	34.32	12.9
3/31/2004	22.47	15.22
4/5/2004	31.61	6.56
4/12/2004	29.9	25.18
4/20/2004	21.96	28.32
4/21/2004	18.09	18.56
4/28/2004	21.03	59.44
