date	concentracaoA	concentracaoB
2/17/1999	18.88	15.31
2/22/1999	20.1	11.63
2/24/1999	17.66	14.99
3/1/1999	11.59	10.05
3/3/1999	14.29	19.26
4/21/1999	46.2	19.06
4/23/1999	36.95	34.62
4/26/1999	41.32	27.33
4/28/1999	47.63	41.3
5/3/1999	46.98	39.96
5/5/1999	53.78	45.33
5/10/1999	28.95	26.81
5/12/1999	33.81	33.03
5/17/1999	45.12	48.34
5/19/1999	38.21	49.08
5/24/1999	71	14.94
5/26/1999	52.97	17.27
5/31/1999	40.32	43.23
6/2/1999	53.43	25.4
6/7/1999	36.31	50.81
6/9/1999	35.15	49.68
6/14/1999	17.8	25.52
6/16/1999	34.27	34.49
6/21/1999	25.27	34.67
6/28/1999	57.18	50.01
6/30/1999	42.55	22.69
7/5/1999	26.55	82.8
7/7/1999	51.59	56.13
7/12/1999	28.9	19.52
7/19/1999	35.28	34.9
7/21/1999	61.84	45.15
7/26/1999	71.98	17.56
7/29/1999	49.08	19.26
8/2/1999	64.46	36.63
8/4/1999	56.66	47.97
8/12/1999	77.39	49.26
8/16/1999	38.01	29.1
8/18/1999	63.71	33.02
8/26/1999	62.4	59.52
8/30/1999	120.95	38.32
9/1/1999	78.07	23.5
9/6/1999	91.36	23.13
9/8/1999	82.06	32.76
9/13/1999	44.46	36.19
9/15/1999	45.62	49.49
9/20/1999	47.28	17.78
9/22/1999	37.52	22.62
10/4/1999	30.09	19.3
10/6/1999	55.26	30.67
10/14/1999	73.46	66.41
10/16/1999	54.54	84.61
10/18/1999	29.84	50.06
10/20/1999	28.24	25.72
10/25/1999	47.16	11.43
10/27/1999	22.31	23.92
11/1/1999	38.15	18.98
11/8/1999	26.12	18.38
11/10/1999	25.67	22.43
11/18/1999	49.15	26.09
11/20/1999	21.06	41.21
11/22/1999	32.11	23.45
11/24/1999	57.36	14.92
12/16/1999	32.8	24.82
12/27/1999	25.4	17.78
2/2/2000	25.51	14.81
2/4/2000	46.21	12.87
2/9/2000	7.44	8.31
2/16/2000	16.46	11.39
2/18/2000	31.7	6.81
2/21/2000	27.41	20.48
2/24/2000	30.08	12.52
3/2/2000	33.34	22.66
3/9/2000	26.04	7.85
3/11/2000	20.76	13.31
3/14/2000	22.72	9.93
3/16/2000	18.04	9.91
3/21/2000	20.17	10.79
3/28/2000	21.09	24.1
3/30/2000	38.4	9.35
4/3/2000	25.17	13.65
4/6/2000	35.76	9.44
4/10/2000	36.34	28.23
4/14/2000	47.88	21.17
4/19/2000	21.02	20.09
4/25/2000	40.94	49.83
4/27/2000	46.45	45.12
