date	concentracaoA	concentracaoB
2/17/2001	12.5	15.31
2/23/2001	28.5	30.58
2/26/2001	22.86	30.42
3/1/2001	32.78	10.05
3/5/2001	19.4	16.09
4/16/2001	35.31	18.27
4/19/2001	46.8	21.52
4/23/2001	34.79	34.62
4/27/2001	38.98	32.29
4/30/2001	33.5	55.28
5/2/2001	31.85	50.93
5/7/2001	35.24	39.28
5/9/2001	14.75	39
5/14/2001	25.53	55.55
5/16/2001	12.09	58.86
5/21/2001	58.76	49.88
5/24/2001	54.7	14.94
5/29/2001	31.4	27.1
6/7/2001	54.17	50.81
6/11/2001	33.09	26.59
6/15/2001	48.94	36.59
6/18/2001	37.78	42.22
6/25/2001	42.82	45.54
6/30/2001	49.14	22.69
7/2/2001	81.77	40.15
7/4/2001	60.62	38.07
7/13/2001	40.53	9.39
7/17/2001	53.29	39.47
7/19/2001	75.45	34.9
7/24/2001	40.18	23.91
7/31/2001	43.83	24.13
8/13/2001	40	34.36
8/17/2001	40	19.03
8/20/2001	40	40.29
8/22/2001	40	49.62
8/27/2001	40	31.83
8/30/2001	40	38.32
9/3/2001	40	16.15
9/10/2001	59.81	33.83
9/13/2001	46.09	36.19
9/18/2001	33.65	62.26
9/20/2001	45.31	17.78
9/26/2001	24.5	16.8
10/1/2001	27.46	18.16
10/4/2001	33.53	19.3
10/15/2001	44.44	60.49
10/20/2001	15	25.72
10/22/2001	19.24	29.72
10/25/2001	39.27	11.43
10/29/2001	42.16	22.9
11/1/2001	32.92	18.98
11/7/2001	41.85	19.39
11/8/2001	31.75	18.38
11/17/2001	19.41	26.58
11/21/2001	0	35.42
11/24/2001	21.55	14.92
11/26/2001	35.21	12.65
12/7/2001	17.74	11.36
12/10/2001	21.32	8.35
12/18/2001	37.12	21.85
12/20/2001	15.97	10.45
1/28/2002	16.53	10.87
1/31/2002	17.44	14.4
2/4/2002	26.22	12.87
2/6/2002	15.48	15.55
2/11/2002	19.03	11.34
2/18/2002	26.82	6.81
2/25/2002	27.91	7.97
3/4/2002	22.88	16.61
3/8/2002	28.63	8.36
3/13/2002	22.73	11.5
3/17/2002	17.8	17.05
3/23/2002	9.62	16.04
3/27/2002	17.85	12.63
4/1/2002	31.97	28.22
4/4/2002	33.08	11.71
4/8/2002	29.07	18.45
4/10/2002	31.59	28.23
4/24/2002	41.26	35.43
4/29/2002	45.34	58.5
