date	concentracaoA	concentracaoB
2/18/1998	28.19	16.63
2/24/1998	23.2	14.99
2/26/1998	19.9	30.42
3/3/1998	19.46	19.26
3/5/1998	30.3	16.09
4/16/1998	38.96	18.27
4/21/1998	31.71	19.06
4/23/1998	24.15	34.62
4/28/1998	15.93	41.3
4/30/1998	23.65	55.28
5/5/1998	14.85	45.33
5/7/1998	22.81	39.28
5/12/1998	40.08	33.03
5/14/1998	95.54	55.55
5/19/1998	23.77	49.08
5/21/1998	41.89	49.88
5/26/1998	41.32	17.27
5/28/1998	29.06	22.56
6/2/1998	35.3	25.4
6/4/1998	41.56	29.69
6/9/1998	50.23	49.68
6/11/1998	41.08	26.59
6/16/1998	47.65	34.49
6/18/1998	42.71	42.22
6/25/1998	26.63	45.54
6/30/1998	50.75	22.69
7/2/1998	49.38	40.15
7/7/1998	60.63	56.13
7/9/1998	11.24	16.58
7/10/1998	43.5	12.99
7/17/1998	62.99	39.47
7/21/1998	63.36	45.15
7/23/1998	58.16	37.65
7/28/1998	53.27	21.11
7/30/1998	43.37	23.4
8/4/1998	37	47.97
8/11/1998	48.11	37.53
8/13/1998	49.75	34.36
8/18/1998	54.4	33.02
8/20/1998	90.11	40.29
8/25/1998	58.71	85.05
8/27/1998	51.08	31.83
9/1/1998	51.8	23.5
9/3/1998	51.82	16.15
9/8/1998	21.18	32.76
9/10/1998	35.3	33.83
9/15/1998	39.5	49.49
9/22/1998	24.9	22.62
9/24/1998	52.59	28.88
9/29/1998	35.03	29.29
10/1/1998	24.91	18.16
10/6/1998	29.67	30.67
10/8/1998	20.27	41.15
10/13/1998	27.13	58.42
10/15/1998	16.3	60.49
10/20/1998	20.2	25.72
10/28/1998	36.92	31.9
10/29/1998	35.5	22.9
11/3/1998	25.65	19.01
11/5/1998	36.6	15.93
11/18/1998	27.71	26.09
11/23/1998	39.58	17.58
11/25/1998	40.28	10.79
12/2/1998	38.93	
12/7/1998	36.1	11.36
12/9/1998	22.42	7.04
12/14/1998	24.37	9.6
12/16/1998	24.45	24.82
12/21/1998	20.64	7.76
12/23/1998	22.5	6.68
12/28/1998	21.57	21.92
12/30/1998	22.04	13.14
2/1/1999	14.22	15.1
2/3/1999	28.27	17.7
2/11/1999	22.73	11.34
2/15/1999	21.33	10.19
2/22/1999	20.1	19.64
2/24/1999	17.66	12.52
3/1/1999	11.59	16.31
3/3/1999	14.29	26.08
3/8/1999	15.15	8.36
3/10/1999	14.6	11.13
3/15/1999	28.86	8.6
3/17/1999	35.72	17.05
3/22/1999	12.82	8.33
3/24/1999	24.68	4.9
3/29/1999	19.73	12.9
4/5/1999	36.33	6.56
4/7/1999	36.19	20.25
4/12/1999	38.32	25.18
4/14/1999	21.32	21.17
4/21/1999	46.2	18.56
4/23/1999	36.95	26.23
4/26/1999	41.32	51.04
4/28/1999	47.63	59.44
