Data	Concentracao	Precipitacao	Velocidade_vento	Direcao_vento	Temperatura	Umidade
4/18/2014	17.75	0.00	0.33	2.50	23.35	62.50
4/19/2014	21.52	0.00	0.67	12.00	24.50	60.33
4/20/2014	22.51	0.00	0.33	7.67	24.35	70.67
4/21/2014	19.06	0.00	1.70	14.00	23.95	64.67
4/22/2014	16.70	0.00	1.73	12.33	22.00	74.67
4/23/2014	34.62	20.60	1.37	16.67	20.90	82.00
4/24/2014	18.62	0.50	1.00	16.67	20.45	81.33
4/25/2014	25.39	0.00	1.73	18.33	25.30	74.33
4/26/2014	27.33	0.00	1.37	18.00	23.70	65.33
4/27/2014	32.29	0.00	2.07	15.33	17.90	68.67
4/28/2014	41.30	0.00	1.70	10.67	18.65	59.33
4/29/2014	37.80	0.00	1.70	8.00	18.80	63.67
4/30/2014	55.28	0.00	1.37	3.33	21.05	61.00
5/1/2014	42.57	0.00	1.37	25.67	20.50	55.00
5/2/2014	50.93	0.00	0.33	1.67	0.00	64.00
5/3/2014	39.96	0.00	0.33	2.50	21.55	52.50
5/5/2014	45.33	0.00	0.67	4.67	20.80	63.67
5/6/2014	33.27	0.00	1.00	16.67	21.90	66.00
5/7/2014	39.28	0.00	1.00	18.00	21.80	60.00
5/8/2014	44.42	0.00	1.00	15.00	20.80	62.00
5/9/2014	39.00	0.00	1.03	16.67	21.30	69.67
5/10/2014	26.81	0.00	3.07	16.67	18.45	66.67
5/11/2014	22.09	0.00	2.40	12.00	18.65	64.00
5/12/2014	33.03	0.00	1.37	4.67	20.10	64.67
5/13/2014	38.91	0.00	0.67	4.67	19.95	64.00
5/14/2014	55.55	0.00	0.33	1.67	19.85	57.67
5/15/2014	49.85	0.00	0.67	6.33	19.60	56.33
5/16/2014	58.86	0.00	0.33	1.67	20.95	53.33
5/17/2014	48.34	0.00	1.00	7.67	16.90	62.33
5/18/2014	40.78	0.00	0.50	2.50	17.90	66.00
5/19/2014	49.08	0.00	0.67	20.50	21.00	61.00
5/20/2014	45.27	0.00	0.67	7.67	20.85	65.33
5/21/2014	49.88	0.00	1.37	16.67	14.90	58.33
5/22/2014	33.59	0.00	1.40	34.00	22.75	55.00
5/23/2014	15.19	38.80	0.67	13.67	18.90	95.67
5/24/2014	14.94	5.80	0.67	27.33	19.15	93.33
5/25/2014	15.32	0.20	1.00	11.00	19.50	88.33
5/26/2014	17.27	0.00	1.00	22.67	18.90	87.67
5/28/2014	22.56	0.00	1.70	14.00	13.90	79.67
5/29/2014	27.10	0.00	2.40	10.67	16.95	71.33
5/30/2014	29.99	0.00	0.50	1.67	18.05	72.67
5/31/2014	43.23	0.00	1.37	13.67	19.20	64.00
6/1/2014	25.04	0.00	0.33	12.00	16.70	85.67
6/2/2014	25.40	3.00	0.33	7.67	19.55	82.33
6/3/2014	31.24	0.00	0.00	0.00	16.15	66.33
6/4/2014	29.69	0.00	0.67	3.33	7.20	56.33
6/5/2014	39.69	0.00	0.33	11.50	20.60	58.00
6/6/2014	50.96	0.00	0.67	3.33	20.45	69.67
6/7/2014	50.81	0.00	0.33	10.67	22.95	58.33
6/8/2014	45.17	0.00	0.67	3.33	22.20	56.67
6/9/2014	49.68	0.00	0.67	6.33	22.00	60.33
6/10/2014	27.87	0.00	1.00	10.67	20.25	74.00
6/11/2014	26.59	0.00	3.10	9.33	19.30	73.33
6/12/2014	18.89	0.00	1.00	6.33	20.90	64.33
6/13/2014	27.10	0.00	2.37	19.67	21.25	64.67
6/14/2014	25.52	0.00	1.37	16.67	21.25	67.33
6/15/2014	36.59	0.00	1.00	9.00	20.85	67.00
6/16/2014	34.49	0.00	1.00	8.00	21.05	61.67
6/17/2014	38.68	0.00	0.33	3.00	21.75	66.33
6/18/2014	42.22	0.00	0.33	1.67	19.95	60.67
6/19/2014	25.06	0.00	1.70	13.67	18.00	72.00
6/20/2014	40.35	0.00	0.67	7.67	17.40	74.00
6/21/2014	34.67	0.00	0.33	4.67	16.90	76.67
