date	concentracaoA	concentracaoB
2/21/2005	27.04	0.91
2/23/2005	30.6	30.58
2/28/2005	24.03	19.32
3/2/2005	27.1	13.91
4/18/2005	35.21	17.75
4/27/2005	21.82	32.29
5/5/2005	39.39	45.33
5/9/2005	31.54	39
5/11/2005	28.05	22.09
5/16/2005	33.82	58.86
5/19/2005	52.85	49.08
5/23/2005	6.99	15.19
5/30/2005	12.98	29.99
6/1/2005	8.47	25.04
6/6/2005	14.95	50.96
6/13/2005	31.96	27.1
6/16/2005	20.58	34.49
6/21/2005	24.13	34.67
6/28/2005	30.19	50.01
6/30/2005	33.5	22.69
7/6/2005	11.77	34.87
7/11/2005	19.47	17.47
7/13/2005	33.67	9.39
7/20/2005	22.13	39.22
7/21/2005	59.79	45.15
7/25/2005	48.68	18.71
7/28/2005	19.4	21.11
8/1/2005	31.12	34.1
8/4/2005	26.69	47.97
8/9/2005	25.82	30.35
8/11/2005	36.5	37.53
8/18/2005	46.22	33.02
9/19/2005	4.75	51.1
9/26/2005	10.84	16.8
9/29/2005	23.94	29.29
10/3/2005	24.38	21.45
10/10/2005	24.82	49.44
10/19/2005	12.8	46.77
10/24/2005	20.26	30.51
10/31/2005	10.26	26.58
11/7/2005	34.59	19.39
11/14/2005	25.89	20.82
11/21/2005	20.46	35.42
11/30/2005	68.79	
12/5/2005	12	26.3
1/30/2006	14.69	13.61
2/15/2006	15.88	10.19
4/15/2006	0	0
