date	concentracao
9/1/2000	37.7
9/4/2000	49.29
9/10/2000	30.93
9/12/2000	49.8
9/14/2000	30.98
9/19/2000	39.08
9/23/2000	51.91
9/25/2000	27.15
9/27/2000	30.3
10/2/2000	37.81
10/6/2000	30
10/9/2000	38.28
10/10/2000	50.25
10/17/2000	43.36
10/19/2000	45.71
10/24/2000	25.06
10/26/2000	37.31
10/30/2000	15.63
11/2/2000	43.17
11/6/2000	31.6
11/9/2000	25.35
11/13/2000	18.25
11/15/2000	21.17
11/20/2000	21.79
11/22/2000	26.37
11/28/2000	16.52
11/30/2000	15.6
12/4/2000	19.56
12/7/2000	32.01
12/13/2000	16.2
12/15/2000	25.45
12/20/2000	25.68
12/22/2000	21.08
12/27/2000	16.3
12/29/2000	21.26
1/4/2001	13.82
1/6/2001	21.26
1/8/2001	21.26
1/15/2001	24.34
1/17/2001	33.64
1/29/2001	19.44
1/31/2001	16.4
2/6/2001	15.56
2/8/2001	14.75
2/15/2001	31.72
2/17/2001	12.5
2/23/2001	28.5
2/26/2001	22.86
3/1/2001	32.78
3/5/2001	19.4
3/7/2001	16.26
3/12/2001	17.49
3/15/2001	32.89
3/19/2001	27.84
3/23/2001	34.09
3/27/2001	25.23
3/29/2001	27
4/4/2001	29.25
4/7/2001	29.97
4/11/2001	30.68
4/14/2001	30.29
4/16/2001	35.31
4/19/2001	46.8
4/23/2001	34.79
4/27/2001	38.98
4/30/2001	33.5
5/2/2001	31.85
5/7/2001	35.24
5/9/2001	14.75
5/14/2001	25.53
5/16/2001	12.09
5/21/2001	58.76
5/24/2001	54.7
5/29/2001	31.4
6/7/2001	54.17
6/11/2001	33.09
6/15/2001	48.94
6/18/2001	37.78
6/25/2001	42.82
6/30/2001	49.14
7/2/2001	81.77
7/4/2001	60.62
7/13/2001	40.53
7/17/2001	53.29
7/19/2001	75.45
7/24/2001	40.18
7/31/2001	43.83
8/3/2001	41
8/13/2001	40
8/17/2001	40
8/20/2001	40
8/22/2001	40
8/27/2001	40
8/30/2001	40
9/3/2001	40
9/10/2001	59.81
9/13/2001	46.09
9/18/2001	33.65
9/20/2001	45.31
9/26/2001	24.5
9/28/2001	33.65
10/1/2001	27.46
10/4/2001	33.53
10/15/2001	44.44
10/20/2001	15
10/22/2001	19.24
10/25/2001	39.27
10/29/2001	42.16
11/1/2001	32.92
11/7/2001	41.85
11/8/2001	31.75
11/17/2001	19.41
11/21/2001	0
11/24/2001	21.55
11/26/2001	35.21
12/3/2001	28.56
12/7/2001	17.74
12/10/2001	21.32
12/12/2001	33.64
12/18/2001	37.12
12/20/2001	15.97
12/26/2001	13.63
1/3/2002	28.48
1/9/2002	25.45
1/11/2002	29.13
1/15/2002	20.01
1/19/2002	13.76
1/21/2002	26.42
1/23/2002	24.46
1/28/2002	16.53
1/31/2002	17.44
2/4/2002	26.22
2/6/2002	15.48
2/11/2002	19.03
2/14/2002	21.76
2/18/2002	26.82
2/25/2002	27.91
3/4/2002	22.88
3/8/2002	28.63
3/13/2002	22.73
3/17/2002	17.8
3/23/2002	9.62
3/25/2002	21.84
3/27/2002	17.85
4/1/2002	31.97
4/4/2002	33.08
4/8/2002	29.07
4/10/2002	31.59
4/17/2002	20.22
4/24/2002	41.26
4/29/2002	45.34
5/3/2002	29.4
5/6/2002	24.58
5/13/2002	25.51
5/16/2002	24.7
5/22/2002	19.93
5/27/2002	40.9
5/29/2002	35.27
6/3/2002	39.48
6/10/2002	54.86
6/13/2002	62.34
6/18/2002	80.69
6/24/2002	52.49
6/27/2002	46.31
7/4/2002	47.9
7/6/2002	60.68
7/8/2002	52.77
7/11/2002	30.07
7/15/2002	59.92
7/19/2002	56.68
7/22/2002	27.04
7/24/2002	62.61
8/1/2002	26.1
8/5/2002	40.68
8/10/2002	63.22
8/12/2002	53.26
8/15/2002	72.13
8/19/2002	35.01
8/21/2002	51.98
8/26/2002	51.71
8/29/2002	29.2
9/15/2002	45.55
9/19/2002	44.87
9/23/2002	24.19
9/27/2002	46.34
9/30/2002	55.52
10/3/2002	49.78
10/7/2002	38.04
10/10/2002	58.04
10/13/2002	56.24
10/21/2002	40.64
10/25/2002	28.28
10/28/2002	17.73
10/31/2002	21.44
11/4/2002	26.16
11/14/2002	15.13
11/18/2002	19.62
11/25/2002	20.18
11/28/2002	34.57
12/2/2002	20.55
12/9/2002	19.23
12/10/2002	22.48
12/16/2002	16.33
12/23/2002	22.55
12/26/2002	10.51
12/30/2002	17.31
1/3/2003	24.79
1/6/2003	6.5
1/13/2003	20.93
1/16/2003	11.48
1/20/2003	16.11
1/23/2003	18.29
1/29/2003	20.2
2/1/2003	20.97
2/3/2003	12.34
2/6/2003	16.97
2/10/2003	14.45
2/19/2003	13.94
2/25/2003	7.77
2/27/2003	35.08
3/3/2003	28.94
3/7/2003	30.74
3/10/2003	9.65
3/13/2003	1.41
3/17/2003	28.87
3/18/2003	21.8
3/24/2003	14.79
3/25/2003	17.74
3/27/2003	27.06
4/2/2003	28.1
4/7/2003	41.69
4/10/2003	20.68
4/13/2003	19.23
4/16/2003	34.38
4/20/2003	44.68
4/25/2003	17.82
4/28/2003	31.69
5/2/2003	38.58
5/7/2003	15.15
5/10/2003	27
5/13/2003	30.3
5/16/2003	22.5
5/22/2003	43.76
5/26/2003	60.72
6/2/2003	49.55
6/5/2003	42.44
6/11/2003	49.37
6/16/2003	52.12
6/23/2003	9.58
6/25/2003	56.06
6/30/2003	70.14
7/4/2003	71.37
7/7/2003	30.9
7/14/2003	60.56
7/17/2003	94.71
7/30/2003	23.52
8/4/2003	37.29
8/11/2003	35.26
8/12/2003	54.81
8/19/2003	15.06
9/3/2003	40.59
9/8/2003	53.58
9/11/2003	18.9
9/15/2003	10.33
9/17/2003	19.49
9/22/2003	55.14
9/29/2003	35.39
10/1/2003	48.29
10/6/2003	34.54
10/8/2003	10.34
10/16/2003	52.44
10/20/2003	58.21
10/22/2003	41.41
10/28/2003	7.77
11/3/2003	16.84
11/5/2003	13.46
11/14/2003	26.1
11/19/2003	16.87
11/24/2003	44.2
11/26/2003	4.54
12/1/2003	7.28
12/4/2003	6.35
12/8/2003	10.37
1/6/2004	9.94
1/9/2004	4.86
1/28/2004	13.07
2/9/2004	27.82
2/11/2004	16.76
2/16/2004	10.22
3/2/2004	2.35
3/4/2004	25.39
3/8/2004	22.22
3/24/2004	40.3
3/29/2004	34.32
3/31/2004	22.47
4/5/2004	31.61
4/12/2004	29.9
4/20/2004	21.96
4/21/2004	18.09
4/28/2004	21.03
5/4/2004	36.18
5/6/2004	17.52
5/17/2004	14.15
5/20/2004	32.94
5/24/2004	33.77
5/26/2004	27.86
6/8/2004	16.19
6/14/2004	48.49
6/16/2004	16.19
6/23/2004	19.93
6/28/2004	76.8
6/30/2004	58.08
7/5/2004	24.25
7/7/2004	42.27
7/14/2004	28.54
7/21/2004	13.89
7/26/2004	30.07
8/3/2004	75.99
8/5/2004	32.14
8/9/2004	31.77
8/11/2004	44.89
8/16/2004	19.94
8/18/2004	44.31
8/25/2004	52.72
8/30/2004	52.93
9/1/2004	40.81
9/15/2004	73.7
9/21/2004	41.17
9/23/2004	124.43
10/4/2004	30.63
10/6/2004	26.65
10/13/2004	31.22
10/18/2004	22.22
10/25/2004	14.65
10/28/2004	31.01
11/10/2004	44.76
11/25/2004	43.06
12/3/2004	50.53
12/9/2004	24.91
12/15/2004	27.25
1/31/2005	16.78
2/10/2005	46.58
2/14/2005	19.67
2/21/2005	27.04
2/23/2005	30.6
2/28/2005	24.03
3/2/2005	27.1
3/21/2005	14.75
3/23/2005	16.35
4/13/2005	34.54
4/18/2005	35.21
4/27/2005	21.82
5/5/2005	39.39
5/9/2005	31.54
5/11/2005	28.05
5/16/2005	33.82
5/19/2005	52.85
5/23/2005	6.99
5/30/2005	12.98
6/1/2005	8.47
6/6/2005	14.95
6/13/2005	31.96
6/16/2005	20.58
6/21/2005	24.13
6/28/2005	30.19
6/30/2005	33.5
7/6/2005	11.77
7/11/2005	19.47
7/13/2005	33.67
7/20/2005	22.13
7/21/2005	59.79
7/25/2005	48.68
7/28/2005	19.4
8/1/2005	31.12
8/4/2005	26.69
8/9/2005	25.82
8/11/2005	36.5
8/18/2005	46.22
9/19/2005	4.75
9/26/2005	10.84
9/29/2005	23.94
10/3/2005	24.38
10/10/2005	24.82
10/19/2005	12.8
10/24/2005	20.26
10/31/2005	10.26
11/7/2005	34.59
11/14/2005	25.89
11/21/2005	20.46
11/30/2005	68.79
12/5/2005	12
1/30/2006	14.69
2/15/2006	15.88
2/17/2014	15.31
2/18/2014	16.63
2/19/2014	18.55
2/20/2014	21.63
