Data	Concentracao	Precipitacao	Temperatura	Umidade	Velocidade_vento
4/28/2014	26.42	0.00	21.66	56.25	2.20
4/29/2014	29.46	0.00	20.31	54.75	2.46
4/30/2014	42.83	0.00	20.63	52.92	2.72
5/1/2014	42.71	0.00	21.27	56.29	3.20
5/2/2014	42.25	0.00	22.59	58.92	1.71
5/3/2014	43.25	0.00	23.00	53.13	1.98
5/4/2014	38.63	0.00	22.83	52.25	1.97
5/5/2014	65.17	0.00	23.29	51.33	1.82
5/6/2014	52.54	0.00	24.15	50.17	1.83
5/7/2014	49.63	0.00	24.26	48.75	1.52
5/8/2014	49.71	0.00	23.87	52.58	1.10
5/9/2014	39.96	0.00	22.92	61.21	1.42
5/10/2014	39.88	0.00	19.89	62.63	3.17
5/11/2014	23.83	0.00	20.18	58.67	2.20
5/12/2014	41.17	0.00	20.74	58.17	2.34
5/13/2014	54.42	0.00	21.65	54.54	1.73
5/14/2014	59.21	0.00	22.34	48.96	1.75
5/15/2014	100.25	0.00	21.62	53.50	1.35
5/16/2014	68.21	0.00	22.87	46.48	1.57
5/17/2014	56.17	0.00	22.76	58.67	2.31
5/18/2014	66.54	0.00	22.50	61.54	1.53
5/19/2014	56.00	0.00	22.90	60.96	1.57
5/20/2014	64.83	0.00	22.75	52.46	1.86
5/21/2014	64.67	0.00	23.74	48.00	2.81
5/22/2014	55.92	0.00	23.05	64.58	3.19
5/23/2014	11.88	0.00	20.07	93.17	1.65
5/24/2014	11.04	0.00	20.57	89.90	1.49
5/25/2014	18.33	0.00	20.36	84.55	1.56
5/26/2014	19.79	0.00	18.98	80.08	1.87
5/27/2014	17.21	0.00	14.67	76.46	1.42
5/28/2014	19.96	0.00	17.19	74.25	2.63
5/29/2014	26.21	0.00	17.20	69.86	2.12
5/30/2014	25.96	0.00	18.69	62.80	2.34
5/31/2014	33.79	0.00	20.73	60.17	2.36
6/1/2014	29.58	0.00	18.79	78.45	1.87
6/2/2014	17.83	0.00	18.68	76.50	1.44
6/3/2014	27.21	0.00	15.74	62.79	1.45
6/4/2014	37.79	0.00	19.80	43.26	1.67
6/5/2014	48.08	0.00	23.41	50.96	2.81
6/6/2014	56.17	0.00	24.02	57.71	2.69
6/7/2014	45.96	0.00	25.11	50.50	2.84
6/8/2014	55.75	0.00	24.51	46.54	3.26
6/9/2014	56.13	0.00	23.92	54.29	2.11
6/10/2014	40.13	0.00	21.23	69.54	2.87
6/11/2014	28.17	0.00	21.18	63.00	2.59
6/12/2014	37.17	0.00	21.80	59.96	2.77
6/13/2014	36.46	0.00	22.09	61.67	2.15
6/14/2014	42.63	0.00	22.77	55.33	1.78
6/15/2014	38.08	0.00	23.15	57.67	1.85
6/16/2014	46.33	0.00	22.61	60.50	1.69
6/17/2014	47.00	0.00	22.82	54.54	1.28
6/18/2014	57.21	0.00	22.56	51.21	1.62
6/19/2014	29.75	0.00	19.14	68.79	2.63
6/20/2014	34.67	0.00	17.82	69.63	1.76
6/21/2014	47.71	0.00	17.40	70.00	1.37
6/22/2014	49.29	0.00	19.91	63.67	1.63
6/23/2014	58.83	0.00	20.78	59.92	2.20
6/24/2014	53.58	0.00	21.26	59.38	1.81
6/25/2014	66.79	0.00	22.19	50.17	1.58
6/26/2014	69.50	0.00	23.12	46.88	1.90
6/27/2014	68.08	0.00	23.38	48.54	2.00
6/28/2014	60.13	0.00	23.17	49.50	1.80
6/29/2014	25.29	0.00	17.70	80.92	1.45
6/30/2014	22.25	0.00	16.62	65.54	1.28
