Data	Concentracao	Precipitacao	Velocidade_vento	Temperatura	Umidade
11/16/1998	31.44	0.00	2.70	20.08	59.70
11/18/1998	27.71	0.00	3.70	19.92	64.00
11/23/1998	39.58	0.00	4.10	22.18	54.70
11/25/1998	40.28	45.00	4.90	22.12	75.00
12/2/1998	38.93	0.00	1.90	21.92	62.70
12/7/1998	36.10	0.00	2.90	19.52	75.30
12/9/1998	22.42	45.20	3.80	19.14	70.70
12/14/1998	24.37	57.00	1.10	17.98	80.30
12/16/1998	24.45	12.40	2.30	19.32	78.70
12/21/1998	20.64	0.00	3.80	21.20	61.70
12/23/1998	22.50	15.40	2.50	21.48	89.30
12/28/1998	21.57	33.60	3.10	22.02	67.00
12/30/1998	22.04	0.00	2.20	23.82	81.70
1/4/1999	19.04	77.40	2.90	21.48	90.70
1/6/1999	21.03	54.30	3.70	21.82	97.00
1/11/1999	20.23	3.70	3.80	20.64	73.00
1/13/1999	21.82	1.30	3.10	18.74	80.70
1/18/1999	25.63	0.00	2.00	20.82	67.70
1/20/1999	34.04	0.00	2.20	22.60	53.30
1/25/1999	27.28	0.40	2.30	18.40	74.70
1/27/1999	24.96	0.00	2.40	16.58	84.30
2/1/1999	14.22	9.50	3.50	19.06	71.30
2/3/1999	28.27	0.00	2.10	19.74	74.30
2/8/1999	19.94	41.60	2.90	19.04	84.70
2/11/1999	22.73	1.60	2.80	20.44	86.70
2/15/1999	21.33	0.00	2.80	22.02	60.30
2/17/1999	18.88	0.00	1.60	23.74	82.70
2/22/1999	20.10	39.40	1.40	23.90	88.30
2/24/1999	17.66	29.20	2.70	22.80	78.70
3/1/1999	11.59	0.00	0.00	23.26	0.00
3/3/1999	14.29	0.00	0.00	19.50	0.00
3/8/1999	15.15	0.00	0.00	18.70	0.00
3/10/1999	14.60	0.00	0.00	20.64	0.00
3/15/1999	28.86	0.00	0.00	18.30	0.00
3/17/1999	35.72	0.00	0.00	21.48	0.00
3/22/1999	12.82	0.00	0.00	21.76	0.00
3/24/1999	24.68	0.00	0.00	22.94	0.00
3/29/1999	19.73	0.00	0.00	24.98	0.00
4/5/1999	36.33	0.20	1.40	24.32	74.00
4/7/1999	36.19	5.70	2.20	20.24	72.70
4/12/1999	38.32	0.00	2.30	21.88	72.30
4/14/1999	21.32	28.40	2.10	23.42	76.00
4/21/1999	46.20	0.00	2.10	21.52	56.00
4/23/1999	36.95	0.00	3.50	22.30	70.30
4/26/1999	41.32	0.00	1.50	23.54	62.00
4/28/1999	47.63	0.00	3.00	23.32	69.30
5/3/1999	46.98	0.00	2.50	22.06	65.70
5/5/1999	53.78	0.00	1.60	23.72	68.30
5/10/1999	28.95	0.00	2.60	23.70	70.00
5/12/1999	33.81	0.00	1.20	24.14	76.70
5/17/1999	45.12	0.00	1.80	23.96	66.30
5/19/1999	38.21	0.00	3.20	26.46	65.30
5/24/1999	71.00	0.00	1.30	22.46	70.00
5/26/1999	52.97	0.00	2.70	21.28	69.70
5/31/1999	40.32	0.00	4.90	23.58	69.70
6/2/1999	53.43	0.00	2.20	23.82	68.00
6/7/1999	36.31	0.00	3.40	24.66	75.00
6/9/1999	35.15	0.00	3.50	22.60	69.30
6/14/1999	17.80	9.30	2.90	21.46	87.30
6/16/1999	34.27	0.00	1.10	23.12	81.70
6/21/1999	25.27	0.00	2.20	24.64	74.30
6/23/1999	37.35	0.00	1.10	20.64	76.30
6/28/1999	57.18	0.00	2.40	23.04	67.70
6/30/1999	42.55	0.00	1.90	20.24	76.00
7/5/1999	26.55	0.00	5.00	14.70	68.30
7/7/1999	51.59	0.00	3.10	19.22	75.70
7/12/1999	28.90	0.00	2.40	15.52	66.30
7/14/1999	33.11	0.00	2.40	18.34	64.00
7/19/1999	35.28	0.00	2.70	20.10	62.70
7/21/1999	61.84	0.00	1.60	19.10	69.00
7/26/1999	71.98	0.00	2.00	18.54	68.00
7/29/1999	49.08	0.00	2.70	19.02	66.30
8/2/1999	64.46	0.00	2.20	18.28	62.00
8/4/1999	56.66	0.00	2.60	17.64	60.00
8/12/1999	77.39	0.00	1.90	20.42	47.00
8/16/1999	38.01	0.00	6.40	11.94	57.70
8/18/1999	63.71	0.00	2.60	17.44	61.30
8/26/1999	62.40	0.00	2.10	18.58	51.30
8/30/1999	120.95	0.00	1.80	22.58	41.30
9/1/1999	78.07	0.00	2.60	21.06	39.70
9/6/1999	91.36	0.00	2.60	23.82	42.00
9/8/1999	82.06	0.00	2.50	24.90	54.00
9/13/1999	44.46	0.00	2.60	20.98	72.30
9/15/1999	45.62	9.60	1.40	18.34	96.00
9/20/1999	47.28	0.00	3.30	20.98	60.60
9/22/1999	37.52	0.00	6.00	17.22	60.00
9/28/1999	78.47	0.00	1.60	21.14	52.70
9/30/1999	57.27	0.00	2.70	22.48	60.30
10/4/1999	30.09	0.00	5.80	14.50	73.30
10/6/1999	55.26	0.00	2.80	20.18	61.00
10/14/1999	73.46	0.00	2.50	25.32	48.30
10/16/1999	54.54	33.40	4.50	26.70	44.30
10/18/1999	29.84	0.00	3.70	20.80	78.70
10/20/1999	28.24	0.00	3.50	20.68	69.00
10/25/1999	47.16	0.00	3.10	19.92	62.70
10/27/1999	22.31	0.00	3.90	20.41	67.00
11/1/1999	38.15	0.00	2.20	20.00	56.70
11/8/1999	26.12	5.30	3.50	22.12	70.30
11/10/1999	25.67	0.00	6.30	14.66	79.70
11/18/1999	49.15	0.00	3.90	21.02	58.70
11/20/1999	21.06	8.60	2.80	20.84	74.30
11/22/1999	32.11	0.00	3.70	21.22	65.70
11/24/1999	57.36	0.00	3.60	22.70	52.30
11/30/1999	43.47	3.40	3.20	22.90	61.30
12/2/1999	28.06	0.00	4.00	24.04	54.30
12/16/1999	32.80	0.00	2.00	21.40	61.00
12/27/1999	25.40	0.10	2.30	22.92	85.70
1/5/2000	18.24	4.90	2.30	20.72	93.70
1/7/2000	9.46	6.20	3.60	21.38	88.70
1/10/2000	24.38	0.00	3.10	24.06	66.70
1/13/2000	26.24	10.20	2.70	23.74	83.00
1/19/2000	24.20	0.00	2.40	25.40	73.00
1/21/2000	36.07	0.00	2.90	23.88	66.00
1/24/2000	30.67	0.00	2.50	23.90	69.30
1/26/2000	15.49	34.20	4.00	19.98	92.00
2/2/2000	25.51	0.00	2.50	22.68	83.30
2/4/2000	46.21	10.40	2.70	22.28	87.70
2/8/2000	34.46	39.00	1.70	21.20	93.00
2/9/2000	7.44	15.20	2.40	21.38	94.00
2/16/2000	16.46	2.00	3.50	21.96	82.30
2/18/2000	31.70	0.00	4.80	19.98	72.70
2/21/2000	27.41	0.00	3.00	22.68	69.70
2/24/2000	30.08	15.00	2.10	23.74	71.30
2/29/2000	15.26	19.20	2.30	23.58	81.30
3/2/2000	33.34	0.00	2.40	23.60	65.00
3/9/2000	26.04	0.00	3.10	21.60	72.30
3/11/2000	20.76	5.40	1.20	20.94	88.00
3/14/2000	22.72	0.00	2.10	22.80	63.70
3/16/2000	18.04	4.70	2.50	22.24	84.30
3/21/2000	20.17	3.00	2.30	22.96	78.30
3/28/2000	21.09	0.00	1.30	20.60	87.70
3/30/2000	38.40	24.10	3.50	20.86	78.70
4/3/2000	25.17	0.00	3.90	19.60	72.30
4/6/2000	35.76	0.00	2.20	21.18	66.60
4/10/2000	36.34	0.00	2.70	23.02	67.60
4/14/2000	47.88	0.00	1.40	22.36	66.00
4/17/2000	46.18	0.00	1.90	20.88	67.70
4/19/2000	21.02	0.00	3.00	21.36	78.30
4/25/2000	40.94	0.00	2.40	19.34	58.30
4/27/2000	46.45	0.00	1.50	19.70	62.00
5/1/2000	32.76	0.00	2.70	20.82	72.70
5/4/2000	33.35	0.00	2.00	21.42	71.70
5/9/2000	35.06	0.00	2.10	18.60	71.30
5/11/2000	38.05	0.00	4.10	16.08	61.00
5/15/2000	56.85	0.00	1.50	18.00	69.00
5/18/2000	40.03	0.00	1.40	12.94	73.00
5/22/2000	46.16	0.00	2.80	16.70	69.70
5/25/2000	50.20	0.00	2.50	16.16	64.30
5/29/2000	39.28	0.00	1.70	12.96	53.70
6/5/2000	34.85	0.00	71.00	17.80	3.63
6/7/2000	39.87	0.00	70.25	16.58	2.57
6/12/2000	58.80	0.00	60.00	18.36	2.33
6/15/2000	48.58	0.00	62.25	19.36	2.37
6/21/2000	26.53	2.50	1.47	12.38	86.50
6/23/2000	52.16	0.00	2.37	14.54	56.75
6/26/2000	53.15	0.00	2.13	18.74	60.25
6/29/2000	74.00	0.00	2.83	20.42	54.75
7/5/2000	43.32	0.00	2.50	17.12	70.25
7/7/2000	43.93	0.00	3.27	18.40	64.25
7/10/2000	66.62	0.00	2.97	20.18	55.75
7/17/2000	34.50	0.00	0.93	5.76	63.25
7/21/2000	46.31	0.00	2.87	14.00	61.50
7/24/2000	31.88	5.20	2.50	11.06	80.50
7/26/2000	46.65	0.00	2.33	17.32	66.75
7/31/2000	52.61	0.00	2.73	19.88	47.25
8/2/2000	40.80	0.00	1.67	17.54	67.75
8/8/2000	58.49	0.00	2.13	20.20	57.50
8/10/2000	35.95	0.00	3.30	19.10	64.25
8/14/2000	45.87	0.00	3.20	18.24	53.75
8/18/2000	22.77	11.80	2.03	17.80	78.50
8/22/2000	17.99	0.00	1.80	19.52	49.25
8/25/2000	70.92	0.00	3.60	22.44	49.00
8/29/2000	26.84	19.40	1.20	14.46	90.50
9/1/2000	37.70	2.30	2.97	20.28	80.00
9/4/2000	49.29	0.00	3.47	14.60	78.50
9/10/2000	30.93	0.00	3.70	20.50	74.75
9/12/2000	49.80	0.00	2.73	21.34	78.25
9/14/2000	30.98	4.60	1.80	21.24	83.00
9/19/2000	39.08	0.00	2.37	0.00	69.50
9/23/2000	51.91	0.00	3.57	0.00	59.00
9/25/2000	27.15	1.80	5.00	0.00	81.25
9/27/2000	30.30	0.00	2.60	0.00	72.50
10/2/2000	37.81	0.00	1.80	0.00	69.00
10/6/2000	30.00	28.60	2.03	0.00	83.25
10/9/2000	38.28	0.00	3.80	0.00	67.25
10/10/2000	50.25	15.40	3.40	0.00	68.50
10/17/2000	43.36	0.00	2.33	0.00	58.75
10/19/2000	45.71	0.00	2.83	0.00	54.75
10/24/2000	25.06	1.10	2.80	0.00	66.50
10/26/2000	37.31	0.00	2.67	0.00	65.50
10/30/2000	15.63	0.00	3.07	0.00	68.50
11/2/2000	43.17	0.00	2.87	0.00	63.25
11/6/2000	31.60	0.00	3.30	0.00	72.50
11/9/2000	25.35	0.00	4.20	0.00	62.25
11/13/2000	18.25	20.30	3.20	0.00	91.00
11/15/2000	21.17	4.70	3.03	0.00	72.75
11/20/2000	21.79	0.00	1.67	0.00	74.75
11/22/2000	26.37	7.30	2.20	0.00	79.00
11/28/2000	16.52	0.00	3.63	0.00	69.00
11/30/2000	15.60	1.90	2.53	0.00	86.75
12/4/2000	19.56	0.00	2.73	22.78	90.25
12/7/2000	32.01	0.00	2.90	22.72	64.75
12/13/2000	16.20	0.00	3.07	23.32	80.75
12/15/2000	25.45	14.80	3.90	21.68	0.00
12/20/2000	25.68	0.00	2.17	22.40	76.00
12/22/2000	21.08	2.90	3.57	22.74	75.50
12/27/2000	16.30	14.20	2.60	22.74	82.50
12/29/2000	21.26	4.40	3.53	22.50	87.75
1/4/2001	13.82	0.00	2.87	22.04	80.25
1/6/2001	21.26	0.00	1.97	24.40	73.00
1/8/2001	21.26	0.00	3.87	24.24	73.25
1/15/2001	24.34	3.00	2.90	22.54	80.00
1/17/2001	33.64	0.00	2.77	24.32	67.50
1/29/2001	19.44	3.80	2.13	23.40	80.25
1/31/2001	16.40	19.50	2.13	22.84	82.50
2/6/2001	15.56	20.10	1.93	22.94	80.00
2/8/2001	14.75	0.00	2.23	23.92	85.00
2/15/2001	31.72	0.00	3.07	22.66	84.25
2/17/2001	12.50	0.20	3.20	22.52	89.75
2/23/2001	28.50	0.00	2.47	24.62	69.75
2/26/2001	22.86	2.00	2.90	24.06	68.00
3/1/2001	32.78	0.00	2.93	23.10	68.75
3/5/2001	19.40	0.70	2.03	22.24	83.25
3/7/2001	16.26	2.60	3.87	21.52	94.25
3/12/2001	17.49	12.90	2.43	23.00	79.25
3/15/2001	32.89	0.00	2.40	24.60	71.25
3/19/2001	27.84	0.00	2.50	22.64	74.75
3/23/2001	34.09	0.00	2.47	23.94	68.50
3/27/2001	25.23	1.00	1.77	22.98	77.50
3/29/2001	27.00	2.00	2.40	22.20	78.25
4/4/2001	29.25	0.00	1.90	23.08	68.00
4/7/2001	29.97	0.00	1.97	23.94	74.00
4/11/2001	30.68	0.00	1.87	24.20	73.50
4/14/2001	30.29	0.00	1.83	20.30	64.50
4/16/2001	35.31	0.00	2.65	0.00	0.00
4/19/2001	46.80	0.00	1.50	20.60	71.25
