Data	Concentra_up	Concentra_down
8/1/2014	50.67	50.67
8/2/2014	55.04	55.04
8/3/2014	56.54	56.54
8/4/2014	25.33	25.33
8/5/2014	42.83	42.83
8/6/2014	72.79	72.79
8/7/2014	40.00	40.00
8/8/2014	15.25	15.25
8/9/2014	40.29	40.29
8/10/2014	65.79	65.79
8/11/2014	76.21	76.21
8/12/2014	35.88	35.88
8/13/2014	15.25	15.25
8/14/2014	22.46	22.46
8/15/2014	28.00	28.00
8/16/2014	27.13	27.13
8/17/2014	32.38	32.38
8/18/2014	23.33	23.33
8/19/2014	30.88	30.88
8/20/2014	47.08	47.08
8/21/2014	54.63	54.63
8/22/2014	60.67	60.67
8/23/2014	61.54	61.54
8/24/2014	74.92	74.92
8/25/2014	73.86	73.86
8/26/2014	27.17	27.17
8/27/2014	23.33	23.33
8/28/2014	28.88	28.88
8/29/2014	36.08	36.08
8/30/2014	52.00	52.00
8/31/2014	12.00	12.00
9/1/2014	41.77	41.77
9/2/2014	19.00	19.00
9/3/2014	14.67	14.67
9/4/2014	23.00	23.00
9/5/2014	38.54	38.54
9/6/2014	44.96	44.96
9/7/2014	46.13	46.13
9/8/2014	56.38	56.38
9/9/2014	76.64	76.64
9/10/2014	61.33	61.33
9/11/2014	8.00	8.00
9/12/2014	44.38	44.38
9/13/2014	49.50	49.50
9/14/2014	66.38	66.38
9/15/2014	44.75	44.75
9/16/2014	33.82	33.82
9/17/2014	46.04	46.04
9/18/2014	27.79	27.79
9/19/2014	34.75	34.75
9/20/2014	16.50	16.50
9/21/2014	16.83	16.83
9/22/2014	0.00	0.00
9/23/2014	49.83	49.83
9/24/2014	32.42	32.42
9/25/2014	35.08	35.08
9/26/2014	19.67	19.67
9/27/2014	15.83	15.83
9/28/2014	0.00	0.00
9/29/2014	31.29	31.29
9/30/2014	0.00	0.00
10/1/2014	31.63	31.63
10/2/2014	23.33	23.33
10/3/2014	21.88	21.88
10/4/2014	17.58	17.58
10/5/2014	28.46	28.46
10/6/2014	0.00	0.00
10/7/2014	50.88	50.88
10/8/2014	65.17	65.17
10/9/2014	56.25	56.25
10/10/2014	60.54	60.54
10/11/2014	53.75	53.75
10/12/2014	74.05	74.05
10/13/2014	86.83	86.83
10/14/2014	38.88	38.88
10/15/2014	0.00	0.00
10/16/2014	78.79	78.79
10/17/2014	85.46	85.46
10/18/2014	63.79	63.79
10/19/2014	22.17	22.17
10/20/2014	26.63	26.63
10/21/2014	22.83	22.83
10/22/2014	32.67	32.67
10/23/2014	51.21	51.21
10/24/2014	36.38	36.38
10/25/2014	25.08	25.08
10/26/2014	32.33	32.33
10/27/2014	37.00	37.00
10/28/2014	38.22	38.22
10/29/2014	65.18	65.18
10/30/2014	0.00	0.00
10/31/2014	0.00	0.00
11/1/2014	0.00	0.00
11/2/2014	0.00	0.00
11/3/2014	0.00	0.00
11/4/2014	34.45	34.45
11/5/2014	16.08	16.08
11/6/2014	30.35	30.35
11/7/2014	26.67	26.67
11/8/2014	14.50	14.50
11/9/2014	22.58	22.58
11/10/2014	29.58	29.58
11/11/2014	44.13	44.13
11/12/2014	50.79	50.79
11/13/2014	17.67	17.67
11/14/2014	13.13	13.13
11/15/2014	15.83	15.83
11/16/2014	22.75	22.75
11/17/2014	31.92	31.92
11/18/2014	34.13	34.13
11/19/2014	38.92	38.92
11/20/2014	43.46	43.46
11/21/2014	30.71	30.71
11/22/2014	19.00	19.00
11/23/2014	22.48	22.48
11/24/2014	28.17	28.17
11/25/2014	19.21	19.21
11/26/2014	17.75	17.75
11/27/2014	15.96	15.96
11/28/2014	19.42	19.42
11/29/2014	20.33	20.33
11/30/2014	29.00	29.00
12/1/2014	27.79	27.79
12/2/2014	31.54	31.54
12/3/2014	32.88	32.88
12/4/2014	17.42	17.42
12/5/2014	14.75	14.75
12/6/2014	19.42	19.42
12/7/2014	36.83	36.83
12/8/2014	30.21	30.21
12/9/2014	24.42	24.42
12/10/2014	20.42	20.42
12/11/2014	19.92	19.92
12/12/2014	15.13	15.13
12/13/2014	16.92	16.92
12/14/2014	19.38	19.38
12/15/2014	24.71	24.71
12/16/2014	32.71	32.71
12/17/2014	41.58	41.58
12/18/2014	32.92	32.92
12/19/2014	17.33	17.33
12/20/2014	16.75	16.75
12/21/2014	17.67	17.67
12/22/2014	13.63	13.63
12/23/2014	11.33	11.33
12/24/2014	16.04	16.04
12/25/2014	20.17	20.17
12/26/2014	24.83	24.83
12/27/2014	30.92	30.92
12/28/2014	24.17	24.17
12/29/2014	15.50	15.50
12/30/2014	53.33	53.33
12/31/2014	20.37	20.37
1/1/2015	33.79	33.79
1/2/2015	21.42	21.42
1/3/2015	16.79	16.79
1/4/2015	17.63	17.63
1/5/2015	22.13	22.13
1/6/2015	27.96	27.96
1/7/2015	35.50	35.50
1/8/2015	35.67	35.67
1/9/2015	35.29	35.29
1/10/2015	28.04	28.04
1/11/2015	17.50	17.50
1/12/2015	36.96	36.96
1/13/2015	33.46	33.46
1/14/2015	46.88	46.88
1/15/2015	45.54	45.54
1/16/2015	33.46	33.46
1/17/2015	36.63	36.63
1/18/2015	32.79	32.79
1/19/2015	41.92	41.92
1/20/2015	48.46	48.46
1/21/2015	30.04	30.04
1/22/2015	18.08	18.08
1/23/2015	22.75	22.75
1/24/2015	17.63	17.63
1/25/2015	19.83	19.83
1/26/2015	18.42	18.42
1/27/2015	20.71	20.71
1/28/2015	26.58	26.58
1/29/2015	24.29	24.29
1/30/2015	19.00	19.00
1/31/2015	26.04	26.04
2/1/2015	15.58	15.58
2/2/2015	21.67	21.67
2/3/2015	42.54	42.54
2/4/2015	23.75	23.75
2/5/2015	16.96	16.96
2/6/2015	17.71	17.71
2/7/2015	19.46	19.46
2/8/2015	24.38	24.38
2/9/2015	24.67	24.67
2/10/2015	20.13	20.13
2/11/2015	20.33	20.33
2/12/2015	28.13	28.13
2/13/2015	38.90	38.90
2/14/2015	24.33	24.33
2/15/2015	22.88	22.88
2/16/2015	16.88	16.88
2/17/2015	19.96	19.96
2/18/2015	14.96	14.96
2/19/2015	25.58	25.58
2/20/2015	25.80	25.80
2/21/2015	33.46	33.46
2/22/2015	24.71	24.71
2/23/2015	31.91	31.91
2/24/2015	28.75	28.75
2/25/2015	24.83	24.83
2/26/2015	24.46	24.46
2/27/2015	25.79	25.79
2/28/2015	18.67	18.67
3/1/2015	18.92	18.92
3/2/2015	22.83	22.83
3/3/2015	26.50	26.50
3/4/2015	29.13	29.13
